dataset,method,mpjep,pampjep,papck,ble,bde
taichi,hyberik,0.04202393814921379,0.040913328528404236,0.3714497685432434,0.20048540830612183,10.745436668395996
taichi,smplify3d,0.10186253488063812,0.07849639654159546,0.34962254762649536,0.20048540830612183,31.484865188598633
humanml3d,hyberik,0.019769687205553055,0.015005180612206459,0.9939211010932922,0.07862935960292816,3.2339961528778076
humanml3d,smplify3d,0.046304188668727875,0.03857769817113876,0.8355165123939514,0.07862936705350876,10.244535446166992
